,Atlantic cod,Atlantic herring,Atlantic mackerel,Goosefish,Haddock,Silver hake,Spiny dogfish,Summer flounder,Winter skate,Yellowtail flounder,
1940,77479.16024,752375.1054,64073.05768,117351.3909,212389.2326,182837.251,162507.7096,169604.7403,150254.3466,82769.4534,1971641.448
1941,74027.05368,766715.61,62437.5594,116435.4472,198846.2323,187397.9686,158912.7023,161367.6191,154923.8925,82909.4695,1963973.554
1942,71017.01702,787849.9956,60958.93944,115688.2408,187535.2885,190189.9906,156615.426,154517.6187,199033.5446,83014.8965,2006420.958
1943,68377.04794,541689.0904,59434.71216,115076.8038,177951.6218,191889.4405,186511.0285,148815.5503,194258.7639,83094.2015,1767098.261
1944,66048.61956,613147.6208,57792.83036,114575.2077,169733.127,193004.1137,176886.7445,144063.8431,191334.4846,83153.8129,1809740.404
1945,64078.30942,678866.4476,54503.40068,114162.8745,162612.975,193950.9834,144214.5519,93789.80874,230991.8924,83198.59636,1820369.84
1946,62402.1438,734126.0036,50132.40272,113823.3481,104257.4648,194615.2979,121087.7202,88607.01036,224398.1794,83232.2261,1776681.797
1947,60958.02716,758646.2068,45098.23752,113543.3862,116236.0728,194511.8107,133529.7324,104157.8223,222261.6018,83257.47226,1832200.37
1948,49158.08904,748967.7336,40305.18568,113312.2762,128704.6905,193590.8709,144958.4011,120718.1073,258726.1902,83276.42026,1881717.965
1949,51476.41388,716674.7568,36441.69636,113121.3147,141485.1284,192246.4606,153909.4146,164957.7029,209610.259,83290.6388,1863213.786
