species,r
Blue_whiting,0.78
Capelin     ,1.3
Green_halibut,0.32
Haddock,0.9
Long_rough_dab,0.32
Mackerel,0.39
North_atl_cod,0.23
Norwegian_ssh,0.3
Polar_cod ,0.577
Redfish,0.25
Saithe ,0.51
