,species,r,maxBiomass,maxBiomassYear,CP,K_est,KtoB
1,Blue_whiting,0.78,13456756.59,13,-32961.76234,4285139257,318.4377476
2,Green_halibut,0.32,1383313.415,20,-231540.9535,2644618.456,1.911799905
3,Haddock,0.9,1599344.047,78,-151091.8968,15236487.53,9.526710381
4,Long_rough_dab,0.32,2036464.318,143,-251282.757,5281298.162,2.593366412
5,Mackerel,0.39,6073019.347,65,-1315514.036,10933982.61,1.800419525
6,North_atl_cod,0.23,7997864.942,14,-1157320.183,12712248.88,1.589455307
7,Norwegian_ssh,0.3,5153852.807,31,-1561367.321,5103640.874,0.990257399
8,Redfish,0.25,4870889.713,123,-1175799.245,5044560.504,1.035654839
