Estimated Parameters
Initial Absolute Biomass:
Blue_whiting,5554663.44
Capelin,4503576.37
Green_halibut,1110889.12
Haddock,104684.00
Long_rough_dab,1079535.11
Mackerel,4756418.16
North_atl_cod,2932919.66
Norwegian_ssh,2858827.34
Polar_cod,2443441.15
Redfish,2099214.79
Saithe,2827345.80
Growth Rate:
Blue_whiting,0.447
Capelin,0.911
Green_halibut,0.147
Haddock,0.360
Long_rough_dab,0.114
Mackerel,0.259
North_atl_cod,1.724
Norwegian_ssh,0.287
Polar_cod,0.065
Redfish,0.206
Saithe,0.164
Carrying Capacity:
Blue_whiting,10239034.90
Capelin,5005906.68
Green_halibut,1663531.80
Haddock,1448890.40
Long_rough_dab,1906161.89
Mackerel,5628449.43
North_atl_cod,7029647.10
Norwegian_ssh,3565876.13
Polar_cod,4546054.78
Redfish,3950363.24
Saithe,21351452.81
Predation (rho):
 ,Blue_whiting,Capelin,Green_halibut,Haddock,Long_rough_dab,Mackerel,North_atl_cod,Norwegian_ssh,Polar_cod,Redfish,Saithe
Blue_whiting,0.000e+00,0.000e+00,2.981e-10,0.000e+00,0.000e+00,0.000e+00,2.629e-12,0.000e+00,0.000e+00,1.707e-09,0.000e+00
Capelin,1.624e-09,0.000e+00,0.000e+00,2.597e-09,2.471e-09,0.000e+00,3.156e-08,1.780e-11,0.000e+00,0.000e+00,6.401e-10
Green_halibut,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.359e-10,0.000e+00,0.000e+00,0.000e+00,0.000e+00
Haddock,0.000e+00,0.000e+00,0.000e+00,1.417e-13,0.000e+00,0.000e+00,4.735e-11,0.000e+00,0.000e+00,4.388e-12,3.559e-11
Long_rough_dab,0.000e+00,0.000e+00,0.000e+00,3.203e-10,0.000e+00,0.000e+00,3.715e-10,0.000e+00,0.000e+00,0.000e+00,0.000e+00
Mackerel,0.000e+00,0.000e+00,6.821e-11,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00
North_atl_cod,0.000e+00,0.000e+00,1.024e-09,5.785e-10,5.874e-10,0.000e+00,6.795e-11,0.000e+00,0.000e+00,1.309e-10,1.515e-10
Norwegian_ssh,9.085e-12,0.000e+00,3.002e-10,1.429e-09,1.019e-11,0.000e+00,5.225e-11,0.000e+00,0.000e+00,0.000e+00,4.448e-10
Polar_cod,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.710e-10,0.000e+00,9.014e-11,0.000e+00,0.000e+00,0.000e+00,0.000e+00
Redfish,1.794e-09,0.000e+00,8.691e-10,0.000e+00,0.000e+00,0.000e+00,9.014e-12,0.000e+00,0.000e+00,0.000e+00,0.000e+00
Saithe,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.103e-12,0.000e+00
