"Blue_whiting","Capelin","Green_halibut","Haddock","Long_rough_dab","Mackerel","North_atl_cod","Norwegian_ssh","Polar_cod","Redfish","Saithe"
1,0.0192182393939818,-0.311454656959241,0.0780625029803133,-0.0731122672661195,0.0336334692450363,0.197133638756627,-0.419347437536633,0.0665341191272888,0.00633312448189988,0.313045158731071
0.0192182393939818,1,-0.207317605221642,0.26292660656251,0.220592225321743,-0.0451154904967451,0.23315955150164,-0.264402107172692,0.222547788331471,0.19505511362534,0.197176849143492
-0.311454656959241,-0.207317605221642,1,-0.47687409474505,-0.402101610663977,0.0300520294630771,-0.508595209029244,0.689486141553716,-0.504878063766299,-0.35717193774932,-0.716748445439102
0.0780625029803133,0.26292660656251,-0.47687409474505,1,0.271429017244323,-0.037342059546478,0.455393297438217,-0.43932361828998,0.505991731744973,0.234881849227531,0.422270976943215
-0.0731122672661195,0.220592225321743,-0.402101610663977,0.271429017244323,1,-0.0676149639418754,0.229778631804796,-0.262161789437052,0.569025716516855,0.341022719612379,0.256892791548285
0.0336334692450363,-0.0451154904967451,0.0300520294630771,-0.037342059546478,-0.0676149639418754,1,0.112217893060204,-0.0445662613088229,0.0454852113328462,0.029210543451214,0.0582278122257177
0.197133638756627,0.23315955150164,-0.508595209029244,0.455393297438217,0.229778631804796,0.112217893060204,1,-0.479773570515164,0.301636177987243,0.337033864161642,0.436891984190251
-0.419347437536633,-0.264402107172692,0.689486141553716,-0.43932361828998,-0.262161789437052,-0.0445662613088229,-0.479773570515164,1,-0.528321327558926,-0.409088769067918,-0.847838007673679
0.0665341191272888,0.222547788331471,-0.504878063766299,0.505991731744973,0.569025716516855,0.0454852113328462,0.301636177987243,-0.528321327558926,1,0.384811835957175,0.48116013462175
0.00633312448189988,0.19505511362534,-0.35717193774932,0.234881849227531,0.341022719612379,0.029210543451214,0.337033864161642,-0.409088769067918,0.384811835957175,1,0.460096616125953
0.313045158731071,0.197176849143492,-0.716748445439102,0.422270976943215,0.256892791548285,0.0582278122257177,0.436891984190251,-0.847838007673679,0.48116013462175,0.460096616125953,1
